fold_id,cv_tag,html_id,sent_id,text,tag
0,cv032,22550,37,"he managed to be in the two best movies of 1967 , "" in the heat of the night "" and the even better "" in cold blood . "" )",pos
0,cv033,24444,0,in wonder boys michael douglas plays an aged writer \ professor with such lived-in naturalism that i believe it may be his best performance .,pos
0,cv033,24444,1,"ever since wall street , douglas has spent the greater part of his career playing variations on the shark in a suit gordon gecko character he personified in the mid-80's .",pos
0,cv033,24444,2,"in those performances he tended to exaggerate the vehemence of cutthroat businessmen , with much frothing at the mouth while projecting all his bad intentions to the world .",pos
0,cv033,24444,3,"you'd think such a man would keep his evil wrapped tightly underneath a good-natured veneer , but from gordon gecko to nicholas van orton , douglas played the role straight and out in the open .",pos
0,cv033,24444,4,"in wonder boys his performance isn't showy or a tour de force , it's simple yet truthful .",pos
0,cv033,24444,5,"he embodies grady , a craggy old writer with a predilection for pot and pink bathrobes .",pos
0,cv033,24444,6,grady instructs a writers workshop while working tirelessly on a follow up to the novel that put him on the map .,pos
0,cv033,24444,7,"when we first encounter this curmudgeon in the midst of his workshop , we hear his sardonic narration on the soundtrack as students bombard one of their own with unfair criticisms .",pos
0,cv033,24444,8,"grady points out , in his narration , that they only do so out of jealousy .",pos
0,cv033,24444,9,"their target is the very writerly named james leer ( played by the always understated tobey maguire ) , a student full of potential and one whom grady develops a mild affection for .",pos
0,cv033,24444,10,leer is the kind of youth who seems to mechanically block out emotions .,pos
0,cv033,24444,11,he speaks in an intellectualized monotone with just a hint of dry wit around the edges .,pos
0,cv033,24444,12,"he's portentous and gloomy , as if modeling himself after the great depressed writers , though his act is a little too calculated .",pos
0,cv033,24444,13,"he reminds me of the self-imposed outcast film director , jim jarmusch ( dead man , ghost dog ) .",pos
0,cv033,24444,14,"whenever i happen to catch jarmusch in an interview i see the man speaking in a toneless manner ( the monotonous drawl supposedly masking depth or contempt for his interviewer ) , exclusively dressed in black , and with his spiked hair dyed snow white .",pos
0,cv033,24444,15,"leer is similar , a guy who equates quirks with depth .",pos
0,cv033,24444,16,tobey maguire fits well in the role .,pos
0,cv033,24444,17,"with his round , sweet-eerie face he resembles bud cort from harold and maude .",pos
0,cv033,24444,18,"but unlike cort , maguire is easier to warm up to ; he's a messed up kid reaching for artistic credibility .",pos
0,cv033,24444,19,"katie holmes plays hannah , a beautiful , talented writing student just itching to get in grady's pants .",pos
0,cv033,24444,20,this is a plot line i had trouble with .,pos
0,cv033,24444,21,"douglas , in his old age , is beginning to resemble jerry springer , a man who has actually paid for sex on numerous documented occasions .",pos
0,cv033,24444,22,"at first i found it extremely difficult to believe that someone as beautiful as hannah would desire grady ( maybe it's because i'm jealous , and wish holmes was throwing herself at me , after all i may just be a lowly internet critic but at least i still have all my teeth ) , then i think of douglas's real life companion , the breathtaking catherine zeta jones .",pos
0,cv033,24444,23,seeing those two together looks a lot like a kidnapping .,pos
0,cv033,24444,24,suddenly my mind has shifted from the task at hand ( that being reviewing this completely wonderful movie ) and i'm pontificating on why the hell jones would desire douglas .,pos
0,cv033,24444,25,there is a movie in there somewhere .,pos
0,cv033,24444,26,"grady , rather chivalrously if you ask me , resists the charms of hannah for sara gaskell ( a droll frances mcdormand ) , who is his age , but also married to another professor .",pos
0,cv033,24444,27,"okay , maybe not so chivalrous .",pos
0,cv033,24444,28,"there is a great line in the film spoken by douglas about sara where he says , "" she was a junkie for the printed word .",pos
0,cv033,24444,29,"lucky for me i manufactured her drug of choice "" .",pos
0,cv033,24444,30,robert downy j . r plays a bisexual editor who makes his entrance with a towering transvestite on his arm .,pos
0,cv033,24444,31,downy has mastered the gleefully dry hyper articulate wit of many a hipster intellectual .,pos
0,cv033,24444,32,he's arrogant but completely likeable in his utter arrogance .,pos
0,cv033,24444,33,"the actor is perfectly cast here , and remains a joyous movie presence somewhere between a typical tom hanksian comic leading man and edgy character actor .",pos
0,cv033,24444,34,i wish wonder boys had more of him .,pos
0,cv033,24444,35,"searching for a plot among the elements of wonder boys would be pointless , for it meanders through its running time , but that's part of its charm .",pos
0,cv033,24444,36,"and maybe i'm a bit biased towards the film because it takes place in a haven of literary academia , a place i'm greatly fond of , and a place rarely explored in american cinema .",pos
0,cv033,24444,37,"everyone has a sub-genre ( be it war films , westerns , dance movies ) that they happen to be privy to .",pos
0,cv033,24444,38,i'm privy to films about literary types i . e .,pos
0,cv033,24444,39,"those individuals enthralled by the written word , and if you are not so inclined it may be wise to knock my above grade down about half a notch .",pos
0,cv033,24444,40,"the direction by curtis hanson is more akin to a european film with its leisurely pace and situations that grow from the characters , rather than generic mapped out story points .",pos
0,cv033,24444,41,"sometimes the dialogue is too clever , but that's a problem i wish i found with films more often .",pos
0,cv033,24444,42,"another minor quibble is that early on the film seems a bit too introverted , like its characters , but as the story progresses it begins to open up .",pos
0,cv033,24444,43,"for me wonder boys works as subtle drama because of its insight into artistic types , and as a low-key comedy for its chuckle-worthy throwaway gags .",pos
0,cv033,24444,44,"the gags are like those in the great robert altman ( m * a * s * h , the long goodbye ) movies , where jokes exist as asides on the fringes , like jokes in life often do .",pos
0,cv033,24444,45,"the broader comedy such as the killing of a blind dog , and incessant smoking of marijuana isn't ineffective but not nearly as memorable as the little things .",pos
0,cv033,24444,46,"curtis hanson , who before his last film , la confidential , toiled about with exploitation fare like losin' it ( an early tom cruise sex comedy ) and the hand the rocks the cradle , has graduated to more meaningful films .",pos
0,cv033,24444,47,"he directs wonder boys in an appropriately dour style , the comedy coming from the false gloom his characters put up .",pos
0,cv033,24444,48,"the morose crooning of leonard cohen would seem an odd song for the background of any party , but in a wonder boys party , it fits .",pos
0,cv033,24444,49,the film is like a piece of literature put up on the big screen .,pos
0,cv033,24444,50,"it's the cinematic equivalent to a good read , novelistic in its approach with themes rarely found in american movies .",pos
0,cv033,24444,51,"many will find it slight , but i found much to savor among its subtleties .",pos
0,cv034,29647,0,plot : derek zoolander is a male model .,pos
0,cv034,29647,1,he is also very dumb and impressionable .,pos
0,cv034,29647,2,"for that reason , he is secretly hired and trained ( so secret , that even he doesn't know about it ) by an underground fashion syndicate to assassinate the prime minister of malaysia , who wants to abolish child labor in his country .",pos
0,cv034,29647,3,will zoolander fulfill the dirty deed ?,pos
0,cv034,29647,4,"will zoolander ever grace the world his new "" look "" ?",pos
0,cv034,29647,5,is this a funny movie ?,pos
0,cv034,29647,6,find out below . . .,pos
0,cv034,29647,7,"critique : there's a place in our world for "" stupid comedies "" .",pos
0,cv034,29647,8,"films which don't pretend to take themselves seriously , are based on idiotic premises and filled with dumb jokes .",pos
0,cv034,29647,9,"there's also a time for them and many would argue that this difficult period of our history , might be an ideal circumstance during which to "" relax "" by watching something so completely frivolous .",pos
0,cv034,29647,10,"well , if you're in the mood for some seriously mindless entertainment , ben stiller and his cast of many have assembled one of the more original dumb comedies in some time .",pos
0,cv034,29647,11,"of course , comedies as such are usually very subjective and i could see how some will see this film simply as stupid and unfunny , while others will grant them the "" stupid "" , but consider it funny instead .",pos
0,cv034,29647,12,"i personally enjoyed it for the most part , cracked up loudly during a couple of specific sequences and loved the derek zoolander character and the unrestrained whipping they released upon the fashion industry .",pos
0,cv034,29647,13,snap !,pos
0,cv034,29647,14,"it was also nice to see several real-life models with small roles in the movie , not taking themselves too seriously .",pos
0,cv034,29647,15,"and if you're the type of person who likes celebrity cameos in films , well , don't look any further because dozens of famous faces show up here including vince vaughn , billy zane , winona ryder , christian slater , david duchovny , natalie portman and many , many others .",pos
0,cv034,29647,16,i especially liked andy dick's complete make-over as the masseuse .,pos
0,cv034,29647,17,hi-larious !,pos
0,cv034,29647,18,"but with all films of this type , there is bound to be some stuff that simply doesn't work .",pos
0,cv034,29647,19,"a few particulars which didn't strike my fancy included the bulimia and "" orgy "" sequence with christine taylor , the break-dance fighting , and i also never get why they use real countries in plots like this ( why not just "" make up "" a country , instead of zeroing in on a certain people ? ) .",pos
0,cv034,29647,20,"i also could have done with less of the taylor character in general , since she wasn't all that interesting and seemed to slow things down every now and then ( more zoolander , dude ! ) .",pos
0,cv034,29647,21,but those few missteps were nothing compared to some of the more memorable scenes which definitely did work for me !,pos
0,cv034,29647,22,"i almost pissed myself during the "" gas station "" disaster , absolutely adored the "" walk-off "" contest ( with david bowie as the judge , no less ) and appreciated many of zoolander's moronic one-liners ( "" i was a merman . . . a",pos
0,cv034,29647,23,"merman ! ! "" ) .",pos
0,cv034,29647,24,"and i dare you to get his "" monkey "" photo shoot out of your head after seeing this movie ( "" you're a monkey , derek . . . a",pos
0,cv034,29647,25,"monkey ! "" )",pos
0,cv034,29647,26,"i also really liked the soundtrack and the pace of the film , both of which zipped and zagged , and established a nice rhythm to it all .",pos
0,cv034,29647,27,"again , it's to note that this movie is dumb and not for everyone , but my guess is that if you laughed at the trailer , you will likely enjoy many of the quips in the actual picture as well .",pos
0,cv034,29647,28,"if you thought the trailer was dumb , skip this dodo bird and go rent austin powers again or something , a film from which there is an obvious influence here .",pos
0,cv034,29647,29,"blue steel , baby . . . yeah ! ! !",pos
0,cv034,29647,30,where's joblo coming from ?,pos
0,cv034,29647,31,"austin powers ( 7/10 ) - austin powers 2 ( 7/10 ) - deuce bigalow ( 7/10 ) - dude , where's my car ( 7/10 ) - freddy got fingered ( 5/10 ) - jay & silent bob strike back ( 8/10 ) - joe dirt ( 5/10 ) - meet the parents ( 8/10 ) - say it isn't so ( 3/10 )",pos
0,cv035,3954,0,"unzipped is a cinematic portrait of isaac mizrahi , an artist whose palette is fabric .",pos
0,cv035,3954,1,"ostensibly , the film is a documentary , but use of that term requires stretching its meaning .",pos
0,cv035,3954,2,"many scenes appear staged , and a great deal of cutting-and-pasting has been done in the editing room .",pos
0,cv035,3954,3,"the cinema verite effect is a conceit -- genuine spontaneity is at a premium , and everyone is aware of and playing to the camera ( especially would-be actresses like cindy crawford ) .",pos
0,cv035,3954,4,"director douglas keeve ( who was mizrahi's lover at the time ) freely admits that he "" couldn't care less about the truth "" but was more interested in capturing "" the spirit and love in isaac and in fashion . """,pos
0,cv035,3954,5,"despite violating nearly every rule of "" legitimate "" documentary film making , however , unzipped is a remarkably enjoyable piece of entertainment .",pos
0,cv035,3954,6,"while it sheds only a little light on the behind-the-scenes world of the fashion industry , it presents a fascinating , if incomplete , picture of designer mizrahi .",pos
0,cv035,3954,7,"this man is the perfect subject for this kind of study -- he's funny , energetic , and eminently quotable .",pos
0,cv035,3954,8,"he has unusual views on just about everything , from fashion ( "" it's about women not wanting to look like cows "" ) to mary tyler moore ( "" between her and jackie kennedy , they shaped this country "" ) to style ( "" it's almost impossible to have style nowadays without the right dogs "" ) .",pos
0,cv035,3954,9,unzipped also gives a glimpse into the creative process by which mizrahi turns an idea into a dress .,pos
0,cv035,3954,10,it's almost certainly different that anyone would imagine .,pos
0,cv035,3954,11,"the designer draws on a variety of sources for his look , including nanook of the north and old bette davis movies , then enlists the aid of a ouija board to help form the collection .",pos
0,cv035,3954,12,"in particular , unzipped traces mizrahi's development of his fall 1994 line from its inception in the spring to the final fashion show , which highlights a number of prominent models , including cindy crawford , naomi campbell , kate bush , and linda evangelista .",pos
